"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2020 week 1","United States","2785","2413","3157","3529","3034","1.3387096774193548",,"0","0","1/2020"
"2020 week 2","United States","2689","2337","3041","3393","2920","1.3125",,"0","0","1/2020"
"2020 week 3","United States","2654","2326","2982","3310","2858","1.2439024390243902",,"0","0","1/2020"
"2020 week 4","United States","2624","2302","2946","3268","2855","1.434782608695652",,"0","0","1/2020"
"2020 week 5","United States","2660","2480","2840","3020","2799","1.5444444444444445",,"0","0","1/2020"
"2020 week 6","United States","2717","2503","2931","3145","2862","1.355140186915888",,"0","0","2/2020"
"2020 week 7","United States","2643","2417","2869","3095","2855","1.8761061946902655",,"0","0","2/2020"
"2020 week 8","United States","2611","2381","2841","3071","2916","2.652173913043478",,"0","0","2/2020"
"2020 week 9","United States","2733","2589","2877","3021","2927","2.6944444444444446",,"0","0","2/2020"
"2020 week 10","United States","2737","2565","2909","3081","3021","3.302325581395349",,"0","0","3/2020"
"2020 week 11","United States","2684","2522","2846","3008","2929","3.0246913580246915",,"0","0","3/2020"
"2020 week 12","United States","2637","2363","2911","3185","3021","2.802919708029197",,"0","0","3/2020"
"2020 week 13","United States","2644","2460","2828","3012","3173","5.75",,"0","0","3/2020"
"2020 week 14","United States","2699","2409","2989","3279","3448","5.165517241379311",,"0","0","4/2020"
"2020 week 15","United States","2714","2560","2868","3022","3681","12.558441558441558",,"0","0","4/2020"
"2020 week 16","United States","2637","2417","2857","3077","3456","7.445454545454545",,"0","0","4/2020"
"2020 week 17","United States","2599","2347","2851","3103","3510","7.23015873015873",,"0","0","4/2020"
"2020 week 18","United States","2710","2518","2902","3094","3596","9.229166666666666",,"0","0","4/2020"
"2020 week 19","United States","2697","2529","2865","3033","3553","10.19047619047619",,"0","0","5/2020"
"2020 week 20","United States","2629","2407","2851","3073","3533","8.144144144144144",,"0","0","5/2020"
"2020 week 21","United States","2665","2447","2883","3101","3591","8.495412844036696",,"0","0","5/2020"
